10th Edition,U,Academy Researchers,0.03
10th Edition,C,Aggressive Urge,0.05
10th Edition,U,Air Elemental,0.05
10th Edition,U,Angel's Feather,0.05
10th Edition,U,Angel of Mercy,0.05
10th Edition,U,Arcane Teachings,0.01
10th Edition,C,Assassinate,0.02
10th Edition,U,Aura Graft,0.02
10th Edition,U,Aura of Silence,0.75
10th Edition,U,Ballista Squad,0.02
10th Edition,C,Bandage,0.05
10th Edition,U,Blanchwood Armor,0.1
10th Edition,U,Blaze,0.05
10th Edition,C,Boomerang,0.12
10th Edition,U,Bottle Gnomes,0.06
10th Edition,C,Canopy Spider,0.05
10th Edition,U,Chromatic Star,2.5
10th Edition,C,Civic Wayfinder,0.05
10th Edition,C,Commune with Nature,0.05
10th Edition,U,Composite Golem,0.14
10th Edition,U,Condemn,0.15
10th Edition,C,Craw Wurm,0.05
10th Edition,U,Creeping Mold,0.05
10th Edition,U,Cruel Edict,0.05
10th Edition,U,Cryoclasm,0.02
10th Edition,U,Deathmark,0.01
10th Edition,U,Deluge,0.02
10th Edition,U,Demon's Horn,0.13
10th Edition,U,Diabolic Tutor,0.25
10th Edition,U,Discombobulate,0.05
10th Edition,C,Distress,0.02
10th Edition,U,Dragon's Claw,0.05
10th Edition,U,Elven Riders,0.05
10th Edition,C,Elvish Berserker,0.05
10th Edition,U,Enormous Baloth,0.05
10th Edition,U,Faerie Conclave,0.8
10th Edition,U,Femeref Archers,0.05
10th Edition,C,Fists of the Anvil,0.02
10th Edition,U,Flamewave Invoker,0.01
10th Edition,U,Flashfreeze,0.05
10th Edition,U,Fountain of Youth,0.1
10th Edition,U,Furnace Whelp,0.02
10th Edition,U,Ghitu Encampment,0.06
10th Edition,C,Ghost Warden,0.05
10th Edition,C,Giant Growth,0.06
10th Edition,C,Giant Spider,0.05
10th Edition,C,Grizzly Bears,0.05
10th Edition,U,Guerrilla Tactics,0.02
10th Edition,U,Hail of Arrows,0.02
10th Edition,U,Hidden Horror,0.02
10th Edition,U,High Ground,0.05
10th Edition,C,Holy Day,0.09
10th Edition,C,Horseshoe Crab,0.02
10th Edition,U,Hunted Wumpus,0.06
10th Edition,U,Icy Manipulator,0.05
10th Edition,C,Incinerate,0.05
10th Edition,U,Juggernaut,0.05
10th Edition,U,Karplusan Strider,0.05
10th Edition,C,Kavu Climber,0.05
10th Edition,U,Knight of Dusk,0.1
10th Edition,U,Kraken's Eye,0.05
10th Edition,U,Leonin Scimitar,0.05
10th Edition,C,Llanowar Elves,0.08
10th Edition,C,Llanowar Sentinel,0.05
10th Edition,U,Lure,0.05
10th Edition,U,Mantis Engine,0.05
10th Edition,U,Megrim,0.05
10th Edition,U,Might Weaver,0.05
10th Edition,U,Mind Stone,0.72
10th Edition,U,Mogg Fanatic,0.31
10th Edition,U,Nantuko Husk,0.05
10th Edition,C,Natural Spring,0.05
10th Edition,C,Naturalize,0.05
10th Edition,U,Nekrataal,0.05
10th Edition,U,No Rest for the Wicked,0.05
10th Edition,U,Ornithopter,0.08
10th Edition,C,Overgrowth,0.12
10th Edition,U,Overrun,0.13
10th Edition,C,Peek,0.11
10th Edition,U,Persuasion,0.28
10th Edition,C,Phyrexian Rager,0.01
10th Edition,U,Phyrexian Vault,0.05
10th Edition,C,Pincher Beetles,0.05
10th Edition,U,Primal Rage,0.75
10th Edition,C,Prodigal Pyromancer,0.01
10th Edition,U,Puppeteer,0.02
10th Edition,U,Pyroclasm,0.24
10th Edition,U,Quicksand,0.05
10th Edition,U,Rage Weaver,0.05
10th Edition,C,Raging Goblin,0.02
10th Edition,U,Rain of Tears,0.24
10th Edition,C,Rampant Growth,0.06
10th Edition,C,Ravenous Rats,0.02
10th Edition,U,Recollect,0.06
10th Edition,C,Recover,0.01
10th Edition,U,Regeneration,0.06
10th Edition,U,Relentless Rats,0.75
10th Edition,U,Reminisce,0.02
10th Edition,C,Remove Soul,0.05
10th Edition,C,Robe of Mirrors,0.05
10th Edition,C,Rock Badger,0.05
10th Edition,U,Rod of Ruin,0.05
10th Edition,C,Rootwalla,0.05
10th Edition,U,Rule of Law,0.28
10th Edition,U,Serra's Embrace,0.02
10th Edition,U,Shatterstorm,2.11
10th Edition,C,Shock,0.02
10th Edition,C,Sift,0.01
10th Edition,U,Skyhunter Skirmisher,0.05
10th Edition,C,Skyshroud Ranger,0.09
10th Edition,C,Smash,0.05
10th Edition,C,Snapping Drake,0.05
10th Edition,U,Soul Warden,0.52
10th Edition,U,Spark Elemental,0.46
10th Edition,U,Spawning Pool,0.05
10th Edition,U,Spellbook,0.25
10th Edition,U,Spiketail Hatchling,0.01
10th Edition,C,Spined Wurm,0.05
10th Edition,U,Spirit Link,0.3
10th Edition,C,Spitting Earth,0.05
10th Edition,C,Stalking Tiger,0.05
10th Edition,U,Stampeding Wildebeests,0.05
10th Edition,U,Steel Golem,0.05
10th Edition,C,Stun,0.06
10th Edition,U,Sudden Impact,0.02
10th Edition,C,Suntail Hawk,0.05
10th Edition,U,Sylvan Basilisk,0.05
10th Edition,U,Sylvan Scrying,0.15
10th Edition,U,Tangle Spider,0.05
10th Edition,U,Telepathy,0.07
10th Edition,U,Telling Time,0.05
10th Edition,U,Tempest of Light,0.01
10th Edition,C,Terramorphic Expanse,0.14
10th Edition,C,Terror,0.05
10th Edition,U,Thieving Magpie,0.02
10th Edition,U,Threaten,0.06
10th Edition,U,Thundering Giant,0.05
10th Edition,U,Tidings,0.05
10th Edition,U,Treasure Hunter,0.02
10th Edition,C,Treetop Bracers,0.05
10th Edition,U,Treetop Village,0.5
10th Edition,C,Uncontrollable Anger,0.05
10th Edition,C,Unsummon,0.05
10th Edition,C,Vampire Bats,0.05
10th Edition,U,Vedalken Mastermind,0.05
10th Edition,C,Viashino Runner,0.05
10th Edition,C,Viashino Sandscout,0.05
10th Edition,U,Viridian Shaman,0.05
10th Edition,U,Wall of Air,0.05
10th Edition,U,Wall of Fire,0.05
10th Edition,U,Wall of Swords,0.02
10th Edition,C,Wall of Wood,0.05
10th Edition,U,Whispersilk Cloak,0.16
10th Edition,U,Wurm's Tooth,0.05
10th Edition,U,Yavimaya Enchantress,0.05
10th Edition,C,Youthful Knight,0.02
4th Edition,U,Animate Dead,0.55
4th Edition,C,Apprentice Wizard,0.06
4th Edition,U,Backfire,0.1
4th Edition,U,Black Vise,0.15
4th Edition,U,Blight,0.15
4th Edition,U,Channel,0.06
4th Edition,U,Control Magic,0.07
4th Edition,U,Counterspell,0.4
4th Edition,C,Dark Ritual,0.08
4th Edition,U,Fellwar Stone,0.2
4th Edition,C,Fireball,0.02
4th Edition,U,Hypnotic Specter,0.5
4th Edition,C,Island (1),0.03
4th Edition,U,Kismet,0.05
4th Edition,U,Library of Leng,0.1
4th Edition,C,Lightning Bolt,1.3
4th Edition,U,Mishra's Factory,0.3
4th Edition,C,Plains (1),0.02
4th Edition,C,Prodigal Sorcerer,0.02
4th Edition,C,Red Elemental Blast,0.06
4th Edition,U,Serra Angel,0.07
4th Edition,U,Spirit Link,0.06
4th Edition,C,Stream of Life,0.02
4th Edition,U,Strip Mine,5.5
4th Edition,U,Swords to Plowshares,0.8
4th Edition,U,The Rack,1.0
4th Edition,U,Uncle Istvan,0.11
4th Edition,C,Wall of Wood,0.06
4th Edition,U,Whirling Dervish,0.06
5th Edition,U,Abbey Gargoyles,0.05
5th Edition,U,Air Elemental,0.06
5th Edition,C,Alabaster Potion,0.06
5th Edition,C,Ambush Party,0.06
5th Edition,C,Amulet of Kroog,0.06
5th Edition,U,Angry Mob,0.05
5th Edition,U,Animate Dead,0.75
5th Edition,U,Anti-Magic Aura,0.06
5th Edition,U,Arenson's Aura,0.06
5th Edition,C,Armor of Faith,0.05
5th Edition,U,Ashes to Ashes,0.06
5th Edition,U,Ashnod's Altar,0.85
5th Edition,C,Ashnod's Transmogrant,0.05
5th Edition,U,Atog,0.05
5th Edition,C,Aurochs,0.05
5th Edition,C,Aysen Bureaucrats,0.05
5th Edition,U,Azure Drake,0.05
5th Edition,C,Barbed Sextant,0.05
5th Edition,C,Battering Ram,0.05
5th Edition,C,Bird Maiden,0.06
5th Edition,U,Black Knight,0.06
5th Edition,C,Blessed Wine,0.05
5th Edition,U,Blight,0.09
5th Edition,C,Blood Lust,0.05
5th Edition,C,Bog Imp,0.06
5th Edition,C,Bog Rats,0.06
5th Edition,U,Bog Wraith,0.06
5th Edition,C,Boomerang,0.06
5th Edition,C,Brainstorm,0.26
5th Edition,C,Brainwash,0.06
5th Edition,C,Brassclaw Orcs,0.06
5th Edition,U,Breeding Pit,0.06
5th Edition,C,Brothers of Fire,0.05
5th Edition,C,Carapace,0.06
5th Edition,U,Carrion Ants,0.06
